"id","english_name","verses_count"
1,"Surah 1",7
2,"Surah 2",286
3,"Surah 3",200
4,"Surah 4",176
5,"Surah 5",120
6,"Surah 6",165
7,"Surah 7",206
8,"Surah 8",75
9,"Surah 9",129
10,"Surah 10",109
11,"Surah 11",123
12,"Surah 12",111
13,"Surah 13",43
14,"Surah 14",52
15,"Surah 15",99
16,"Surah 16",128
17,"Surah 17",111
18,"Surah 18",110
19,"Surah 19",98
20,"Surah 20",135
21,"Surah 21",112
22,"Surah 22",78
23,"Surah 23",118
24,"Surah 24",64
25,"Surah 25",77
26,"Surah 26",227
27,"Surah 27",93
28,"Surah 28",88
29,"Surah 29",69
30,"Surah 30",60
31,"Surah 31",34
32,"Surah 32",30
33,"Surah 33",73
34,"Surah 34",54
35,"Surah 35",45
36,"Surah 36",83
37,"Surah 37",182
38,"Surah 38",88
39,"Surah 39",75
40,"Surah 40",85
41,"Surah 41",54
42,"Surah 42",53
43,"Surah 43",89
44,"Surah 44",59
45,"Surah 45",37
46,"Surah 46",35
47,"Surah 47",38
48,"Surah 48",29
49,"Surah 49",18
50,"Surah 50",45
51,"Surah 51",60
52,"Surah 52",49
53,"Surah 53",62
54,"Surah 54",55
55,"Surah 55",78
56,"Surah 56",96
57,"Surah 57",29
58,"Surah 58",22
59,"Surah 59",24
60,"Surah 60",13
61,"Surah 61",14
62,"Surah 62",11
63,"Surah 63",11
64,"Surah 64",18
65,"Surah 65",12
66,"Surah 66",12
67,"Surah 67",30
68,"Surah 68",52
69,"Surah 69",52
70,"Surah 70",44
71,"Surah 71",28
72,"Surah 72",28
73,"Surah 73",20
74,"Surah 74",56
75,"Surah 75",40
76,"Surah 76",31
77,"Surah 77",50
78,"Surah 78",40
79,"Surah 79",46
80,"Surah 80",42
81,"Surah 81",29
82,"Surah 82",19
83,"Surah 83",36
84,"Surah 84",25
85,"Surah 85",22
86,"Surah 86",17
87,"Surah 87",19
88,"Surah 88",26
89,"Surah 89",30
90,"Surah 90",20
91,"Surah 91",15
92,"Surah 92",21
93,"Surah 93",11
94,"Surah 94",8
95,"Surah 95",8
96,"Surah 96",19
97,"Surah 97",5
98,"Surah 98",8
99,"Surah 99",8
100,"Surah 100",11
101,"Surah 101",11
102,"Surah 102",8
103,"Surah 103",3
104,"Surah 104",9
105,"Surah 105",5
106,"Surah 106",4
107,"Surah 107",7
108,"Surah 108",3
109,"Surah 109",6
110,"Surah 110",3
111,"Surah 111",5
112,"Surah 112",4
113,"Surah 113",5
114,"Surah 114",6